ID,Gender,Age_years,Age_months,BirthCountry,HouseholdSize,FamilySize,AnnualHouseIncome,AnnualFamilyIncome,RatioFamilyIncomePoverty
93703,2,2,,1,5,5,15,15,5
93704,1,2,,1,4,4,15,15,5
93705,2,66,,1,1,1,3,3,0.82
93706,1,18,,1,5,5,,,
93707,1,13,,1,7,7,10,10,1.88
93708,2,66,,2,2,2,6,6,1.63
93709,2,75,,1,1,1,2,2,0.41
93710,2,5.40E-79,11,1,3,3,15,15,4.9
93711,1,56,,2,3,3,15,15,5
93712,1,18,,2,4,4,4,4,0.76
93713,1,67,,1,1,1,6,6,2.65
93714,2,54,,1,3,3,7,7,1.86
93715,1,71,,1,5,5,8,8,1.56
93716,1,61,,2,3,3,15,15,5
93717,1,22,,1,2,1,,4,1.49
93718,1,45,,1,7,7,10,10,1.18
93719,2,13,,1,3,3,14,14,3.92
93720,2,1,21,1,3,3,14,14,4.77
93721,2,60,,2,2,2,8,8,3.04
93722,2,60,,2,1,1,6,6,2.07
93723,1,64,,1,2,2,9,9,3.69
93724,2,5,,1,7,7,4,4,0.42
93725,2,9,,1,4,4,15,15,5
93726,2,67,,2,1,1,5,5,1.85
93727,1,70,,2,2,2,15,15,5
93728,1,53,,1,2,2,15,15,5
93729,1,42,,1,2,1,6,3,0.83
93730,1,57,,2,1,1,77,77,
93731,1,20,,1,5,5,15,15,5
93732,1,72,,1,1,1,3,3,1.13
93733,2,11,,1,7,7,9,9,1.58
93734,1,13,,1,3,3,10,10,3.33
93735,1,52,,2,3,3,2,2,0.35
93736,1,11,,1,4,4,12,12,
93737,1,8,,1,3,3,1,1,0.14
93738,1,26,,1,6,6,15,15,5
93739,2,5,,1,4,4,8,8,1.79
93740,1,72,,1,1,1,2,2,0.74
93741,2,9,,1,5,5,15,15,5
93742,1,72,,1,1,1,7,7,3.62
93743,1,61,,1,2,1,12,8,3.87
93744,2,10,,1,3,2,7,7,2.13
93745,1,5,,1,5,5,4,4,0.56
93746,2,25,,1,1,1,7,7,3.4
93747,2,13,,1,4,4,6,6,1.06
93748,1,5.40E-79,7,1,3,3,9,9,2.79
93749,2,1,19,1,7,7,3,3,0.29
93750,2,52,,2,2,2,15,15,5
93751,2,7,,1,6,6,1,1,0.04
93752,2,73,,1,3,1,14,8,3.98
93753,2,10,,1,5,5,10,10,2.21
93754,1,72,,2,2,2,3,3,0.82
93755,2,26,,1,1,1,6,6,2.07
93756,2,64,,1,3,3,,,
93757,1,63,,1,2,2,7,7,2.59
93758,2,55,,1,2,2,3,3,0.75
93759,1,60,,2,4,4,12,12,
93760,2,54,,2,2,2,,,
93761,1,44,,2,4,4,6,6,1
93762,2,74,,1,1,1,3,3,1
93763,1,40,,1,4,4,14,14,3.25
93764,2,1,16,1,3,3,6,6,1.67
93765,1,19,,1,7,7,14,14,2.01
93766,2,36,,2,4,4,3,3,0.52
93767,1,61,,2,3,3,5,5,1.18
93768,1,80,,1,2,2,8,8,3.04
93769,1,6,,1,4,4,15,15,5
93770,1,55,,2,1,1,2,2,0.8
93771,1,3,,1,7,7,9,9,1.32
93772,2,55,,1,1,1,2,2,0.7
93773,1,69,,1,2,2,2,2,0.39
93774,2,41,,2,3,3,14,14,3.67
